flood_exposure,flood_boundary_distance,easement_encroachment_pct,lot_coverage_ratio,property_age,num_transfers_5yr,avg_holding_period_years,ownership_anomaly_score,cv_vs_recorded_area_delta,label
0,126.9,0.166,0.4,49,2,2.93,0.12,0,0
0,63.0,0.009,0.877,33,2,14.15,0.372,0.084,0
0,59.9,0.27,0.335,9,0,13.7,0.0,0.083,0
0,412.9,0.037,0.838,62,2,3.05,0.247,0,0
1,0.0,0.283,0.594,6,1,5.17,0.157,0.237,1
0,289.2,0.234,0.727,58,3,3.58,0.458,0.072,0
1,0.0,0.245,0.606,57,0,11.0,0.0,0.106,1
0,229.6,0.006,0.672,42,6,8.93,0.763,0,1
0,498.3,0.193,0.448,49,1,2.25,0.168,0.088,0
0,103.9,0.259,0.963,14,5,4.6,0.512,0.092,1
0,186.8,0.106,0.276,75,4,4.74,0.584,0.011,0
0,291.3,0.164,0.868,49,3,2.15,0.303,0.135,0
1,0.0,0.22,0.729,43,0,29.8,0.175,0.142,0
0,390.1,0.133,0.615,27,1,8.75,0.04,0.239,0
0,474.3,0.073,0.3,51,0,18.8,0.107,0.118,0
0,123.4,0.247,0.383,48,6,9.05,0.545,0.068,1
0,276.8,0.227,0.304,60,1,9.13,0.251,0,0
0,352.9,0.33,0.548,5,0,27.2,0.092,0.039,0
0,54.8,0.337,0.265,47,5,1.08,0.704,0,1
0,498.5,0.153,0.621,29,2,5.16,0.069,0.088,0
0,349.9,0.101,0.663,23,0,12.9,0.0,0.24,0
0,332.3,0.19,0.54,2,3,9.57,0.418,0.053,0
1,0.0,0.046,0.711,66,0,29.3,0.0,0.013,0
1,0.0,0.143,0.98,22,0,21.2,0.156,0.155,1
0,259.3,0.096,0.445,11,0,14.6,0.155,0.005,0
0,388.6,0.299,0.646,81,1,11.03,0.013,0.105,0
0,434.0,0.156,0.603,12,2,7.1,0.222,0.097,0
0,429.4,0.144,0.772,33,2,14.83,0.127,0.081,0
0,252.7,0.013,0.512,69,3,1.95,0.515,0.042,0
0,46.7,0.274,0.686,71,2,12.86,0.409,0.1,1
0,317.1,0.311,0.278,73,1,9.65,0.454,0,0
0,382.6,0.246,0.708,78,0,13.1,0.0,0.121,0
0,81.3,0.186,0.38,59,0,20.2,0.0,0.132,0
0,236.0,0.089,0.897,22,1,10.33,0.152,0.097,0
0,493.9,0.105,0.579,43,1,14.99,0.179,0.02,0
0,496.4,0.103,0.255,75,5,11.3,0.614,0.136,0
0,307.5,0.123,0.4,64,6,1.91,0.78,0.034,1
0,368.9,0.032,0.512,56,0,24.7,0.025,0.104,0
1,0.0,0.32,0.753,20,1,11.33,0.124,0.084,1
0,431.5,0.253,0.886,35,0,24.8,0.037,0.149,0
0,190.6,0.262,0.826,34,0,21.9,0.0,0.07,0
1,0.0,0.077,0.58,43,6,6.42,0.619,0.174,1
0,498.0,0.041,0.354,23,2,10.22,0.24,0,0
0,443.9,0.229,0.907,46,0,22.3,0.13,0.068,0
0,429.2,0.035,0.827,36,0,15.0,0.069,0.088,0
0,324.4,0.209,0.437,65,5,3.48,0.46,0.099,0
1,0.0,0.076,0.343,5,0,11.9,0.345,0.026,0
0,333.9,0.009,0.755,6,2,0.73,0.355,0.046,0
0,267.8,0.261,0.489,6,0,16.3,0.075,0.159,0
1,0.0,0.106,0.298,20,2,6.68,0.033,0.148,0
0,46.0,0.028,0.324,2,6,8.99,0.627,0,0
1,0.0,0.212,0.336,11,1,6.74,0.102,0.113,0
0,205.4,0.255,0.689,34,0,22.2,0.007,0.056,0
0,407.8,0.195,0.694,66,2,5.63,0.304,0,0
0,484.5,0.21,0.544,62,6,7.49,0.703,0,0
0,291.3,0.283,0.897,3,6,9.82,0.633,0.232,1
0,24.2,0.096,0.524,58,0,19.2,0.005,0.076,0
1,0.0,0.075,0.354,42,2,11.76,0.231,0.019,1
0,86.2,0.264,0.446,27,3,9.3,0.29,0.079,0
0,148.8,0.237,0.46,53,2,14.77,0.243,0.101,0
0,386.0,0.267,0.255,26,0,8.2,0.0,0.038,0
0,45.3,0.302,0.553,72,2,8.85,0.196,0,0
0,151.9,0.142,0.809,23,2,1.78,0.442,0.0,0
0,436.6,0.261,0.356,16,6,2.15,0.585,0,0
0,182.0,0.335,0.427,63,1,3.36,0.015,0,0
0,237.3,0.197,0.86,9,6,9.71,0.598,0,1
0,84.0,0.024,0.815,6,0,13.8,0.149,0.09,0
0,47.6,0.302,0.605,22,5,8.54,0.572,0.094,1
0,455.4,0.2,0.55,62,0,16.3,0.121,0,0
0,29.2,0.248,0.665,35,2,13.81,0.245,0,0
1,0.0,0.018,0.297,69,4,10.34,0.416,0.175,1
0,173.3,0.204,0.492,31,0,19.9,0.0,0.114,0
0,325.3,0.115,0.847,14,0,21.2,0.0,0.085,0
0,177.4,0.268,0.334,72,1,12.74,0.198,0.161,0
1,0.0,0.013,0.726,5,2,2.74,0.315,0.161,1
0,31.4,0.128,0.732,24,1,8.24,0.0,0,0
0,452.9,0.068,1.028,22,1,11.78,0.046,0.048,0
1,0.0,0.048,0.519,34,4,14.05,0.507,0.027,1
0,149.7,0.267,0.589,26,0,28.7,0.069,0.136,0
0,204.3,0.131,0.55,78,2,14.0,0.269,0.112,0
0,77.4,0.1,0.35,21,3,9.42,0.366,0.041,0
1,0.0,0.185,0.426,66,0,11.0,0.106,0,0
0,64.3,0.317,0.68,8,1,10.92,0.149,0.054,0
0,335.5,0.03,0.55,17,4,8.54,0.554,0,0
0,490.7,0.089,0.293,51,6,9.61,0.672,0,0
1,0.0,0.118,0.71,22,3,9.66,0.376,0.061,1
0,28.1,0.071,0.493,42,4,6.27,0.495,0,1
0,184.9,0.273,0.328,34,2,13.4,0.283,0.043,0
0,176.1,0.065,0.76,47,0,23.2,0.169,0.102,0
0,60.3,0.115,0.63,27,0,22.2,0.0,0.036,0
0,311.3,0.152,1.008,72,6,9.74,0.533,0.159,1
0,425.8,0.237,0.288,35,2,6.05,0.027,0,0
0,474.9,0.13,0.615,31,2,9.92,0.25,0.089,0
0,457.6,0.041,0.407,3,1,10.56,0.033,0.103,0
0,427.9,0.158,0.898,41,6,5.54,0.765,0.09,1
0,398.9,0.178,0.884,51,3,0.88,0.377,0,0
1,0.0,0.045,0.477,20,4,6.46,0.34,0.106,1
0,230.5,0.238,0.731,11,6,9.02,0.712,0.055,1
1,0.0,0.319,0.644,43,0,9.0,0.116,0.027,1
0,424.5,0.088,0.467,43,5,8.24,0.511,0.001,0
1,0.0,0.054,0.89,38,5,1.1,0.727,0.025,1
0,329.1,0.268,0.271,12,1,9.81,0.095,0.031,0
0,155.7,0.026,0.495,22,1,5.43,0.273,0.175,0
0,487.9,0.046,0.322,51,3,2.28,0.62,0.008,0
0,152.2,0.134,0.876,61,2,14.04,0.238,0,0
0,254.4,0.108,0.474,23,1,3.62,0.43,0.034,0
0,302.8,0.295,0.61,68,2,2.44,0.241,0.126,0
0,289.4,0.068,0.49,24,4,4.56,0.467,0.171,0
0,73.0,0.034,0.504,35,0,10.0,0.0,0.045,0
0,403.9,0.182,0.611,40,5,5.12,0.565,0,0
0,300.9,0.178,0.732,43,3,12.33,0.249,0.138,0
0,302.5,0.093,0.832,8,1,10.96,0.133,0.008,0
1,0.0,0.271,0.652,77,5,14.25,0.565,0.06,1
0,211.1,0.271,0.817,74,0,18.0,0.103,0,0
0,267.5,0.11,0.602,12,2,10.3,0.352,0,0
0,104.2,0.086,0.834,43,1,10.72,0.076,0.016,0
0,180.9,0.327,0.606,12,2,13.49,0.177,0.095,0
0,150.9,0.25,0.762,20,1,3.43,0.094,0,0
0,77.3,0.215,0.281,14,1,9.75,0.248,0.077,0
0,12.5,0.193,0.858,21,3,9.93,0.305,0.052,1
0,326.5,0.318,0.415,77,0,15.4,0.172,0,0
0,101.3,0.262,0.257,9,5,2.06,0.593,0.115,1
1,0.0,0.184,0.606,57,0,13.3,0.033,0,0
0,397.5,0.199,0.755,30,2,7.97,0.233,0.152,0
0,491.0,0.167,0.461,24,1,14.33,0.099,0.171,0
0,40.4,0.041,0.655,42,0,21.0,0.06,0.121,0
0,117.4,0.047,0.903,34,2,10.68,0.394,0,0
0,343.4,0.209,0.609,35,0,27.9,0.0,0.164,0
1,0.0,0.071,0.444,15,3,2.19,0.387,0.152,1
0,232.2,0.18,0.636,42,0,14.9,0.115,0.104,0
1,0.0,0.026,0.291,74,0,29.7,0.0,0.061,0
0,193.5,0.312,0.948,33,0,22.1,0.099,0,0
0,68.1,0.347,0.745,53,0,23.9,0.16,0.038,0
0,413.4,0.087,0.361,67,0,25.2,0.0,0,0
0,127.9,0.024,0.585,75,1,11.24,0.09,0.084,0
0,78.7,0.348,0.799,41,5,9.17,0.745,0.017,1
0,439.4,0.345,0.433,74,4,14.25,0.61,0,0
0,33.0,0.121,0.816,41,2,6.42,0.175,0.034,0
1,0.0,0.166,0.696,22,0,19.1,0.175,0.029,0
0,171.8,0.028,0.32,57,0,11.7,0.106,0,0
0,102.2,0.267,0.581,39,1,14.38,0.384,0.068,0
0,458.1,0.243,0.406,40,1,6.02,0.138,0,0
0,186.2,0.309,0.809,21,2,13.76,0.179,0.11,0
0,17.9,0.194,0.538,62,1,5.28,0.123,0,0
0,279.8,0.33,0.751,19,3,2.94,0.367,0.003,0
1,0.0,0.347,0.821,72,6,1.2,0.686,0.093,1
0,43.3,0.053,0.504,2,6,10.17,0.565,0,1
1,0.0,0.144,0.437,45,0,17.6,0.051,0.023,0
0,62.4,0.034,0.628,49,2,4.38,0.173,0.097,0
0,157.0,0.29,0.859,77,0,15.1,0.122,0,0
0,354.4,0.029,0.485,69,4,13.83,0.477,0.221,0
0,32.8,0.026,0.684,77,0,28.2,0.0,0,0
1,0.0,0.05,0.483,9,1,8.72,0.238,0,0
0,397.3,0.241,0.913,75,0,15.9,0.025,0.089,0
1,0.0,0.334,0.508,47,3,7.61,0.203,0.2,1
0,52.0,0.217,0.31,62,2,10.82,0.313,0,0
0,186.7,0.032,0.752,68,0,7.2,0.0,0.093,0
0,183.4,0.033,0.898,80,1,6.5,0.146,0.073,0
1,0.0,0.317,0.367,33,0,8.5,0.013,0.138,1
0,156.9,0.274,0.4,18,5,9.44,0.591,0.008,1
0,474.9,0.116,0.802,25,2,6.74,0.315,0,0
1,0.0,0.332,0.369,31,2,4.73,0.203,0.018,1
1,0.0,0.274,0.773,31,2,2.15,0.127,0.008,1
1,0.0,0.009,0.416,44,0,25.5,0.007,0.073,0
0,78.2,0.106,0.758,33,0,16.2,0.0,0,0
0,276.4,0.277,0.843,5,6,13.76,0.601,0.097,1
0,91.5,0.214,0.792,30,2,14.5,0.237,0.055,0
1,0.0,0.195,0.478,22,6,9.03,0.769,0,1
0,246.6,0.103,0.796,63,2,5.02,0.185,0.065,0
0,363.8,0.158,0.76,67,0,26.2,0.062,0,0
0,465.7,0.259,0.344,10,2,14.4,0.262,0.131,0
0,203.8,0.258,0.534,81,1,3.48,0.281,0.052,0
0,292.9,0.28,0.446,23,0,11.6,0.13,0,0
1,0.0,0.137,0.791,2,0,25.3,0.0,0.032,0
1,0.0,0.207,0.318,42,0,9.6,0.008,0,0
0,217.3,0.17,0.715,59,4,2.92,0.477,0.038,1
0,313.5,0.303,0.381,32,4,7.83,0.298,0.054,0
0,92.0,0.198,0.42,13,1,2.94,0.247,0,0
0,279.4,0.04,0.587,35,4,12.43,0.604,0.083,0
0,370.6,0.229,0.87,24,1,5.55,0.063,0.085,0
0,390.1,0.083,0.87,3,6,6.71,0.519,0,0
1,0.0,0.123,0.368,44,1,8.8,0.0,0.142,0
0,76.4,0.263,1.024,65,0,11.2,0.005,0,0
0,79.7,0.221,0.544,70,2,7.98,0.1,0.017,1
0,232.8,0.171,0.676,70,3,9.71,0.287,0,0
0,414.2,0.173,0.507,8,0,19.2,0.0,0,0
0,32.5,0.219,0.761,61,3,7.12,0.456,0.046,1
0,87.9,0.326,0.455,71,2,10.14,0.244,0.035,0
0,365.7,0.264,0.75,81,1,7.41,0.198,0.092,0
0,410.4,0.346,0.594,52,2,1.8,0.388,0.063,0
0,441.7,0.048,0.731,73,4,8.67,0.404,0.019,0
0,460.7,0.216,0.316,69,0,23.8,0.106,0,0
0,164.1,0.049,0.426,5,5,10.96,0.498,0.236,0
0,110.7,0.212,0.469,75,1,7.68,0.183,0.121,0
1,0.0,0.025,0.997,65,2,12.98,0.163,0.018,1
0,18.2,0.024,0.804,31,4,4.65,0.295,0.018,1
0,353.9,0.029,0.354,71,1,1.65,0.538,0,0
1,0.0,0.222,0.298,26,1,1.34,0.374,0.123,1
0,310.0,0.019,0.798,66,0,22.7,0.032,0.004,0
0,91.8,0.044,0.336,78,2,12.2,0.215,0.046,0
1,0.0,0.22,0.488,18,5,2.92,0.645,0.165,1
0,121.9,0.178,0.259,76,3,5.78,0.258,0.094,0
0,280.9,0.32,0.459,28,2,4.43,0.335,0.086,0
0,119.4,0.181,0.304,22,1,11.72,0.147,0.037,0
0,13.9,0.07,0.805,50,3,5.84,0.694,0.001,1
1,0.0,0.266,0.8,78,1,8.35,0.0,0,1
0,476.0,0.001,0.722,42,0,10.1,0.154,0.041,0
0,358.7,0.033,0.65,34,3,14.63,0.285,0.081,0
0,322.2,0.138,0.55,65,1,4.73,0.285,0,0
0,165.8,0.095,0.358,7,0,8.9,0.168,0.096,0
0,69.2,0.125,0.556,66,0,8.9,0.0,0,0
0,82.7,0.249,0.282,43,1,12.39,0.123,0.141,0
0,282.4,0.193,0.789,64,0,5.3,0.188,0,0
0,346.3,0.328,0.431,72,0,29.9,0.186,0.087,0
0,55.1,0.297,0.797,75,0,28.1,0.0,0.102,0
0,94.7,0.075,0.527,62,0,20.4,0.052,0,0
0,211.9,0.193,0.468,28,1,9.82,0.172,0,0
0,494.8,0.274,0.774,37,5,7.78,0.545,0.012,0
0,302.6,0.01,0.805,14,2,11.62,0.52,0.049,0
0,271.5,0.277,0.951,8,2,5.64,0.336,0.132,0
0,125.9,0.111,0.272,36,5,8.67,0.49,0.03,0
0,275.6,0.061,0.383,53,0,18.2,0.034,0.229,0
0,405.2,0.119,0.909,40,0,5.5,0.0,0,0
0,480.7,0.131,0.316,43,2,2.48,0.059,0.157,0
0,328.1,0.061,0.919,36,1,10.15,0.188,0,0
0,367.1,0.332,0.896,9,0,9.6,0.0,0,0
1,0.0,0.077,0.538,39,0,10.9,0.11,0.045,0
0,228.8,0.093,0.502,68,0,6.2,0.022,0,0
0,443.4,0.173,0.49,20,5,9.94,0.527,0.006,0
0,19.8,0.091,0.347,33,0,23.3,0.136,0,0
0,175.6,0.345,0.565,60,5,13.4,0.575,0.081,1
1,0.0,0.253,0.425,51,0,6.2,0.112,0,1
0,36.7,0.001,0.66,5,3,3.4,0.41,0.058,0
0,161.1,0.139,0.454,12,2,3.18,0.29,0.108,0
0,31.9,0.154,0.414,74,0,23.8,0.029,0.021,0
1,0.0,0.08,0.872,28,4,10.46,0.554,0.146,1
0,243.4,0.028,0.862,8,6,14.75,0.797,0.206,0
0,486.4,0.283,0.294,26,1,14.96,0.227,0,0
0,166.7,0.254,0.567,11,2,12.92,0.029,0.028,0
1,0.0,0.183,0.337,9,5,8.95,0.562,0.086,1
0,285.7,0.035,0.928,29,1,6.05,0.014,0.06,0
0,312.9,0.238,0.748,39,1,1.21,0.319,0,0
0,19.9,0.286,0.781,69,1,2.45,0.257,0.036,1
0,306.4,0.031,0.744,19,4,13.07,0.38,0.092,0
0,42.2,0.248,0.744,9,0,9.3,0.097,0.012,0
0,459.8,0.247,0.547,31,6,13.88,0.659,0.025,0
0,301.1,0.062,0.495,61,1,11.36,0.119,0,0
1,0.0,0.273,0.742,55,1,9.95,0.189,0,1
0,242.3,0.046,0.256,49,5,12.17,0.461,0.246,0
0,427.3,0.161,0.704,2,2,8.98,0.168,0.359,0
0,285.1,0.208,0.317,73,2,14.83,0.124,0,0
0,102.3,0.181,0.87,5,2,10.08,0.407,0,0
0,498.8,0.091,0.729,7,5,12.33,0.463,0.155,0
0,454.2,0.235,0.357,10,0,12.3,0.0,0,0
1,0.0,0.267,0.961,70,1,5.65,0.147,0,1
0,296.9,0.162,0.83,7,5,14.19,0.463,0.201,0
1,0.0,0.042,0.444,75,0,8.4,0.082,0.128,0
0,80.2,0.302,0.611,59,2,9.7,0.158,0.114,0
0,292.4,0.055,0.502,27,2,6.72,0.24,0.051,0
0,447.1,0.265,0.656,50,1,10.56,0.116,0.027,0
0,256.6,0.107,0.477,44,3,11.05,0.275,0.009,0
0,498.1,0.172,0.785,30,0,10.7,0.0,0.044,0
0,298.9,0.059,0.828,33,6,4.21,0.619,0.045,1
0,33.6,0.041,0.606,21,0,10.1,0.045,0.046,0
0,334.2,0.232,0.748,28,0,17.8,0.0,0.006,0
1,0.0,0.07,0.99,36,2,4.78,0.135,0.141,1
0,347.2,0.168,0.619,67,5,10.2,0.576,0.078,0
0,453.3,0.226,0.487,22,0,7.5,0.038,0.06,0
0,186.5,0.237,0.319,76,0,26.3,0.018,0.008,0
1,0.0,0.094,0.469,67,2,6.3,0.334,0,1
0,402.0,0.227,0.654,74,0,7.6,0.147,0.001,0
1,0.0,0.133,0.854,65,3,13.85,0.305,0.112,1
0,41.0,0.229,0.745,8,5,3.75,0.745,0.005,1
1,0.0,0.033,0.602,32,0,26.0,0.032,0,0
0,15.7,0.327,0.897,60,0,23.8,0.012,0.115,0
1,0.0,0.225,0.309,25,5,7.0,0.667,0.104,1
0,490.5,0.261,0.489,10,4,0.5,0.715,0.109,0
1,0.0,0.197,0.934,35,0,25.4,0.0,0.09,0
1,0.0,0.21,0.54,69,6,3.72,0.548,0.176,1
1,0.0,0.131,0.342,64,2,2.05,0.232,0.01,1
0,115.6,0.289,0.329,28,0,28.2,0.12,0,0
1,0.0,0.335,0.253,75,4,14.06,0.342,0.099,1
1,0.0,0.273,0.375,65,0,14.7,0.0,0,0
1,0.0,0.321,0.847,44,3,12.17,0.347,0.12,1
1,0.0,0.105,0.798,11,6,3.65,0.69,0.173,1
0,490.9,0.228,0.722,40,0,24.0,0.0,0,0
0,340.4,0.313,0.775,80,4,2.04,0.426,0.068,1
0,491.9,0.239,0.775,44,1,11.43,0.177,0.194,0
0,311.9,0.236,0.822,10,2,3.95,0.288,0,0
0,199.9,0.335,0.598,80,1,3.44,0.294,0.158,0
0,416.7,0.319,0.627,4,1,11.75,0.231,0.035,0
0,481.6,0.257,0.524,10,1,2.39,0.286,0,0
0,238.5,0.328,0.44,75,6,9.43,0.589,0,1
0,267.4,0.335,0.538,28,4,8.29,0.408,0.097,0
0,335.0,0.116,0.702,14,3,14.95,0.476,0,0
0,127.8,0.225,0.274,40,2,13.78,0.258,0.124,0
1,0.0,0.253,0.891,34,4,12.14,0.422,0.058,1
1,0.0,0.029,0.814,13,4,0.61,0.561,0.159,1
0,433.8,0.148,0.747,26,6,12.34,0.787,0.103,1
0,52.9,0.019,0.647,52,1,6.41,0.174,0,0
0,18.3,0.236,0.646,73,5,1.16,0.754,0,1
0,307.2,0.099,0.784,78,3,2.77,0.349,0.075,1
1,0.0,0.103,0.65,34,0,18.8,0.002,0.036,0
1,0.0,0.192,0.721,37,1,6.48,0.154,0,1
0,100.2,0.216,0.359,9,0,26.3,0.343,0,0
0,339.1,0.088,0.606,39,2,2.36,0.28,0.029,0
1,0.0,0.024,0.534,3,6,4.93,0.539,0,1
0,92.6,0.11,0.718,46,2,2.45,0.316,0.032,0
0,228.2,0.271,0.371,4,0,26.0,0.085,0.016,0
0,366.4,0.312,0.827,7,2,11.65,0.231,0.055,0
0,276.3,0.35,0.356,31,1,13.43,0.0,0,0
0,204.4,0.176,0.838,3,6,2.9,0.738,0,1
0,287.5,0.198,0.603,36,0,10.5,0.014,0.052,0
0,263.8,0.277,0.555,76,0,29.5,0.072,0,0
1,0.0,0.222,0.45,12,5,3.02,0.496,0,1
1,0.0,0.088,0.49,37,3,11.99,0.194,0.057,1
0,225.6,0.08,0.4,58,0,14.1,0.04,0.011,0
0,245.9,0.168,0.703,29,0,11.1,0.231,0.124,0
0,318.5,0.014,0.348,58,4,14.39,0.346,0,0
0,474.2,0.076,0.944,60,1,12.54,0.169,0,0
0,315.4,0.179,0.5,23,5,9.06,0.562,0.128,0
1,0.0,0.24,0.374,3,5,1.07,0.742,0.07,1
0,55.7,0.231,0.251,26,4,6.6,0.559,0,0
0,396.9,0.133,0.931,8,0,15.6,0.152,0.046,0
0,148.8,0.307,0.253,81,5,8.08,0.454,0.04,1
0,187.5,0.054,0.433,13,2,8.69,0.424,0,0
0,379.9,0.145,0.498,10,3,4.18,0.318,0.119,0
0,376.4,0.156,0.545,38,4,9.4,0.293,0.04,0
0,482.6,0.002,0.608,5,2,1.78,0.392,0.127,0
0,310.8,0.182,0.683,59,6,7.67,0.548,0.206,1
1,0.0,0.1,0.633,52,5,2.96,0.622,0.063,1
0,392.0,0.124,0.38,80,0,28.0,0.05,0,0
1,0.0,0.32,0.772,53,5,14.46,0.452,0.073,1
1,0.0,0.037,0.481,67,4,14.37,0.452,0.154,1
1,0.0,0.088,0.695,50,2,14.44,0.143,0.073,1
0,136.3,0.134,0.416,41,2,14.35,0.238,0.039,0
0,131.6,0.033,0.503,11,0,16.9,0.0,0.185,0
0,254.5,0.07,0.409,56,1,12.63,0.391,0,0
0,460.9,0.237,0.254,12,0,26.2,0.0,0.1,0
1,0.0,0.304,0.709,16,1,6.27,0.027,0.05,1
1,0.0,0.28,0.275,37,2,12.98,0.268,0,1
0,347.7,0.004,0.314,35,5,13.0,0.633,0.074,0
0,241.0,0.215,0.504,28,2,5.79,0.161,0.101,0
0,409.0,0.252,0.841,56,0,25.0,0.0,0.043,0
0,96.5,0.175,0.74,19,1,4.14,0.17,0.031,0
0,408.8,0.167,0.674,48,2,5.72,0.285,0,0
0,19.7,0.042,0.407,8,6,9.91,0.729,0.174,1
0,389.6,0.156,0.436,63,0,21.0,0.168,0.125,0
1,0.0,0.2,0.446,41,2,9.97,0.216,0,1
0,376.5,0.182,0.37,79,0,23.2,0.178,0,0
0,113.2,0.139,0.751,11,0,5.7,0.0,0.132,0
0,51.3,0.326,0.406,45,3,9.58,0.389,0.154,1
0,27.2,0.125,0.61,12,1,8.45,0.311,0.196,0
0,319.2,0.223,0.672,13,1,13.68,0.117,0,0
0,226.5,0.128,0.256,15,0,13.6,0.037,0.052,0
0,156.8,0.268,0.808,11,2,3.23,0.136,0.113,0
0,90.0,0.258,0.418,71,2,9.57,0.072,0.035,0
0,149.5,0.26,0.805,58,0,12.2,0.0,0,0
0,353.2,0.172,0.277,13,0,9.6,0.113,0.088,0
0,54.2,0.005,0.449,18,2,7.22,0.093,0.068,0
0,37.5,0.271,0.375,49,2,12.51,0.373,0.145,0
0,131.1,0.348,0.767,15,6,14.74,0.822,0,1
0,468.7,0.056,0.657,66,1,7.48,0.121,0.122,0
0,125.6,0.152,0.413,66,2,11.94,0.298,0.073,0
0,347.3,0.054,0.555,2,2,14.0,0.39,0.048,0
1,0.0,0.277,0.462,10,6,11.47,0.703,0.079,1
0,20.5,0.132,0.274,25,4,4.77,0.429,0.001,1
0,144.9,0.291,0.563,24,1,12.38,0.235,0,0
1,0.0,0.133,0.727,35,5,3.96,0.523,0,1
1,0.0,0.239,0.417,29,6,5.17,0.626,0.147,1
0,419.2,0.045,0.541,69,0,19.3,0.126,0,0
0,34.1,0.077,0.757,19,0,16.7,0.025,0.001,0
0,412.8,0.278,0.452,76,0,25.9,0.112,0.076,0
0,270.5,0.066,0.655,59,4,11.36,0.444,0.017,0
1,0.0,0.125,0.562,68,0,24.8,0.0,0.021,0
1,0.0,0.155,0.679,40,2,6.48,0.147,0,1
0,308.1,0.197,0.602,49,2,14.44,0.155,0.076,0
1,0.0,0.006,0.491,43,1,3.61,0.0,0,1
0,460.4,0.179,0.371,77,3,5.66,0.412,0.108,0
0,55.0,0.14,0.778,20,0,17.2,0.014,0.15,0
0,301.7,0.105,0.757,39,2,13.26,0.039,0.124,0
1,0.0,0.325,0.533,42,4,1.1,0.718,0.006,1
1,0.0,0.244,0.66,31,3,11.42,0.311,0.034,1
0,74.8,0.029,0.656,48,0,15.0,0.123,0,0
0,245.7,0.069,0.389,3,4,4.07,0.606,0.11,0
0,65.1,0.145,0.455,5,6,0.85,1.0,0,1
1,0.0,0.288,0.563,52,1,10.44,0.24,0.157,1
0,475.0,0.324,0.632,67,1,7.03,0.234,0.104,0
1,0.0,0.074,0.426,20,5,11.08,0.648,0.146,1
1,0.0,0.015,0.364,2,1,1.27,0.315,0.044,1
0,333.6,0.232,0.319,44,6,6.1,0.768,0.038,0
